LocationNormalized,Id,SalaryNormalized,log_avg_salary,len_requirement,words_requirement
North Piddle,69339593.0,47800.0,10.742131202188872,1108.5,141.875
Kerry,69976907.0,47680.0,10.772267301739232,1006.0,128.0
Fawley,67625406.0,47500.0,10.768484990022733,1856.0,224.0
North Mymms,70389382.66666667,47500.0,10.764770931171652,1698.0,205.33333333333334
Newton Solney,72547678.0,47500.0,10.768484990022733,1697.0,211.0
Pride Park,71685310.0,47500.0,10.768484990022733,1697.0,211.0
Bassaleg,69986987.2,47400.0,10.733980763300211,987.8,129.2
East Wall,70196284.64705883,47362.529411764706,10.688098221962264,1239.137254901961,161.58823529411765
Cinderford,69542176.0,47342.0,10.353565788477924,547.0,78.0
Calcot,70424591.33333333,47257.142857142855,10.723911822885503,1168.202380952381,149.60714285714286
Cricklewood,71264700.75,47250.0,10.663113924587504,1065.0,142.75
Offham,70657704.5,47202.0,10.668984607304546,1231.0,151.5
Pembury,68302119.0,47040.0,10.758753582572508,1222.0,168.0
Aldgate,72459653.0,47000.0,10.757902880692196,5410.0,663.0
Cowes,70413445.2,46952.0,10.598675914547023,914.9,118.0
Dean Clough Industrial Park,70087951.42857143,46821.42857142857,10.674656050542536,1148.7142857142858,145.57142857142858
Loudwater,64801845.0,46820.0,10.639391620639872,1222.5,157.75
Belmont,70925412.66666667,46800.0,10.725289294911178,1030.0,132.0
Cheltenham Trade Park,70212675.41176471,46792.94117647059,10.699167506682548,1255.235294117647,154.64705882352942
Woodside,70449734.95652173,46684.782608695656,10.718751789735869,1202.4782608695652,153.34782608695653
Bournemouth International Airport,69676373.72,46673.88,10.65478924729573,1647.28,210.4
Barrow-Upon-Humber,71109353.18181819,46632.09090909091,10.678606308125488,1157.8181818181818,145.8181818181818
Romney Marsh,70471794.875,46569.5,10.46412402020806,1074.625,140.375
Windsor & Maidenhead,70403283.72727273,46567.27272727273,10.728352670379898,1142.0,145.0
The City,69991096.78361785,46528.5187181791,10.655639378218197,1136.8580413297395,146.53638814016173
Chadbury,70036549.85714285,46371.42857142857,10.695731006368337,981.8571428571429,120.42857142857143
Haultwick,71914037.0,46333.333333333336,10.738811641183654,991.0,122.66666666666667
Gaydon,69809248.02752294,46290.49541284404,10.688398854991034,1571.440366972477,197.43119266055047
West Haddon,68865365.5,46249.5,10.675929248120392,1512.0,216.0
Seaton,70707794.0,46200.0,10.547255551424778,662.6666666666666,96.33333333333333
Llanberis,72177981.5,46000.0,10.736337598257244,1457.0,174.5
South Normanton,70117200.7,45830.0,10.633894715513922,1071.7,136.1
Irlams O' Th' Height,69955295.33333333,45555.555555555555,10.64741970983653,1085.0740740740741,141.07407407407408
Coscote,70137889.8478261,45550.086956521736,10.67013042811134,1008.8260869565217,130.45652173913044
Thurso,68978488.0,45504.0,10.619722711623998,1020.2,134.2
Frinton-On-Sea,68999105.0,45500.333333333336,10.474502959346898,914.0,119.33333333333333
Surrey Quays,67712857.375,45280.125,10.591653089376246,1131.9375,147.0625
Isle Of North Uist,69441540.66666667,45233.333333333336,10.639807804345724,1085.0,138.0
South East England,69949781.12117504,45128.27539779682,10.61299088788979,1198.952264381885,153.8922888616891
Whittlebury,46627949.5,45120.0,10.71708088617194,648.0,89.0
Choppington,69817431.0,45120.0,10.71708088617194,1073.0,145.0
Needham Market,66426240.0,45120.0,10.71708088617194,989.0,125.0
Coolham,69784700.11764705,45088.23529411765,10.68242268431631,1141.1764705882354,143.8235294117647
Oaklands,69830236.0,45000.0,10.714417768752456,2403.0,338.0
Datchet,69196575.0,45000.0,10.714417768752456,1337.0,176.0
Gatwick Airport,71368424.0,45000.0,10.714417768752456,3387.0,391.0
Upper Basildon,70218993.0,45000.0,10.714417768752456,772.0,98.0
South Godstone,71335198.0,45000.0,10.714417768752456,1139.0,154.0
Silfield,71335899.0,45000.0,10.714417768752456,768.0,95.0
Rush Green,68180768.0,45000.0,10.714417768752456,1184.0,159.0
Denham,69025464.0,45000.0,10.714417768752456,877.0,116.0
Rusholme,72343509.0,45000.0,10.714417768752456,708.0,95.0
Maple Cross,70621007.0,45000.0,10.714417768752456,1870.0,219.0
Little Tring,71594008.0,45000.0,10.714417768752456,949.0,123.0
Wormley,69787669.0,45000.0,10.714417768752456,1313.0,165.0
St. Germans,68838092.0,45000.0,10.714417768752456,535.0,76.0
North Down,71452189.5,45000.0,10.71287217246762,1055.0,142.0
Bankside,71740023.0,45000.0,10.714417768752456,952.0,114.0
Liverpool Street,71571703.0,45000.0,10.714417768752456,578.0,72.0
Cressington,69918192.53571428,44919.28571428572,10.58226237672359,1117.5,145.57142857142858
Shirley,66096022.0,44900.0,10.655842411766875,1177.6666666666667,149.33333333333334
Birchwood,71964697.5,44575.5,10.376727996620048,681.0,87.5
Central Treviscoe,71233735.5,44500.0,10.674602133906454,1732.0,224.5
Axbridge,69898102.94444445,44495.13888888889,10.60392549661722,1054.0277777777778,140.08333333333334
Glasgow East Investment Park,70687247.984375,44477.96875,10.597071307067841,944.015625,122.40625
Highbury,71087182.33333333,44266.666666666664,10.524909605874397,1103.0,150.33333333333334
Lakenheath,69022945.0,44160.0,10.695574680950976,1092.5,153.5
Little Chesterford,70185070.84848484,44136.36363636364,10.64795973392547,918.4848484848485,118.55555555555556
Crookham Village,70220700.0,44000.0,10.6055250940962,1552.8333333333333,196.66666666666666
Stokenchurch,68576537.0,43950.0,10.6827703435663,501.5,64.0
H M Naval Base,70631979.8,43872.2,10.644837667677981,728.6,97.8
Moray,70638231.2,43752.0,10.68019102302217,1240.6,157.4
Chadderton,69054487.0,43750.0,10.685838561832483,1201.0,155.5
Guernsey,69961364.6521739,43600.69565217391,10.493895777663653,1082.695652173913,144.2173913043478
Whyteleafe,70085877.4893617,43589.40425531915,10.634857518980409,1220.1985815602836,159.04255319148936
Letchworth Garden City,70081015.6744186,43538.446088794924,10.577330121438031,1101.2811839323467,141.74418604651163
Tooting,69149958.5,43485.0,10.431513133515974,481.25,67.0
London,69966316.60251622,43429.14969530175,10.573035213009566,1163.0957342244938,151.43542362885788
Central London,70123745.40659763,43407.492903720755,10.584200090337129,1231.3099347909474,159.63329497506712
South Ferriby,71293932.5,43400.0,10.657286704621526,1188.0,152.75
Humber,71435988.28571428,43357.142857142855,10.589814978722965,1052.857142857143,132.28571428571428
France Lynch,70125620.66666667,43333.333333333336,10.597030097120248,817.1666666666666,107.83333333333333
Newton Heath,69532886.33333333,43333.333333333336,10.526394389324189,1692.3333333333333,218.0
Little Bromley,70727553.5,43291.666666666664,10.526089688705644,758.1666666666666,99.33333333333333
Jedburgh,66948170.5,43250.0,10.669900957567258,914.5,125.0
Park Street,70688030.91666667,43208.333333333336,10.654174242848704,741.8333333333334,100.0
Fairbourne,71846509.0,43200.0,10.673595774232203,1042.0,145.0
Waterloo,68797031.75,43198.75,10.568678345245603,1310.625,162.75
Isle Of Wight,69752632.29787233,43133.58865248227,10.554836118902925,1026.212765957447,135.60283687943263
West Town,70574177.33333333,43103.76422764228,10.597177468881506,1028.1300813008131,132.85365853658536
Isle Of Iona,71812041.0,43000.0,10.668955394675699,1521.0,206.0
Isle Of Colonsay,71812046.0,43000.0,10.668955394675699,1525.0,206.0
Isle Of Coll,71812047.0,43000.0,10.668955394675699,1521.0,206.0
The Cross,70119767.0,42986.666666666664,10.665979431905983,800.2222222222222,106.22222222222223
Withcall,70478873.4,42940.0,10.623814571624274,922.6,117.8
North West England,70017810.8328841,42829.96226415094,10.580310065487009,1143.6792452830189,147.6765498652291
Paris Island Little,70357495.25,42779.5,10.661706648546838,931.75,124.25
Newcastle,70744694.0,42763.333333333336,10.52279527863515,906.3333333333334,119.83333333333333
Linlithgow Bridge,72373178.5,42750.0,10.661737510923544,2736.0,324.5
Deane,70153828.05882353,42676.470588235294,10.60244622159325,1543.8235294117646,194.35294117647058
Lindfield,70272756.25,42625.0,10.639268133356552,1412.0,187.0
Craigiehall,70776176.94117647,42569.60784313725,10.567496528767036,1130.0,143.09803921568627
Littleham,69523110.0,42500.0,10.657259354912508,940.0,125.0
Stretham,69008374.0,42500.0,10.657259354912508,239.0,33.0
Cuttifords Door,72373582.0,42500.0,10.657259354912508,1370.0,170.0
Wymington,71772854.0,42500.0,10.657259354912508,1574.0,189.0
Blackfriars,70765603.0,42500.0,10.657259354912508,1976.0,242.0
Gronant,70757158.0,42500.0,10.657259354912508,944.0,126.0
Brixworth,69669212.0,42500.0,10.657259354912508,1407.0,179.0
Annitsford,69776858.0,42500.0,10.657259354912508,4359.0,508.0
Butleigh,72115392.0,42500.0,10.657259354912508,359.5,43.5
Westlake,71561045.0,42500.0,10.657259354912508,1331.0,163.0
Ford,68594307.22222222,42455.555555555555,10.608891713110792,1174.111111111111,151.66666666666666
Warfield Park,70672023.91666667,42410.0,10.552382689416334,1073.8333333333333,136.08333333333334
East End Green,70949891.2,42400.0,10.649389838652509,946.4,115.4
Leavesden,69653330.42857143,42356.0,10.626968343834944,1082.2142857142858,139.85714285714286
Pode Hole,70613098.41666667,42333.333333333336,10.611750812399896,1386.6666666666667,181.08333333333334
Broadfield,70111357.9090909,42230.90909090909,10.551218854098934,1190.909090909091,151.0909090909091
Porton Down,68725122.0,42197.0,10.650104407449692,1403.0,180.0
Bedfont,71981227.33333333,42166.666666666664,10.625133585881407,1429.3333333333333,184.0
West Ravendale,69833231.45,42139.15,10.570095019829662,1359.65,171.5
Chalvey,70332285.07142857,42071.42857142857,10.585503358785727,1207.7142857142858,157.28571428571428
Clifton,70385164.69491525,41995.254237288136,10.58684562149204,1288.1186440677966,162.61016949152543
Bruntingthorpe,70438686.33333333,41833.333333333336,10.590495204588068,1442.6666666666667,190.66666666666666
Kirknewton,70494488.4,41700.0,10.616087013083192,1257.4,161.4
Bridlington,71165229.4375,41691.5,10.43208612161882,840.3125,112.0625
East Molesey,70263696.18518518,41650.48148148148,10.537471500850645,1272.0185185185185,165.07407407407408
Bar Hill,69607392.5,41625.0,10.618092909124064,2482.5,298.25
Elstow,71017043.8888889,41611.11111111111,10.590209401524616,1438.2222222222222,184.77777777777777
Windsor Castle,71170273.9,41550.0,10.611829231790328,1484.0,188.2
South East London,70223888.98249808,41530.17348245539,10.538962890193517,1215.6851361734825,158.61837274822847
West Gerinish,69916458.66666667,41500.0,10.402057268238046,1713.0,220.33333333333334
Wilmington,70765378.0,41500.0,10.63344870621879,305.0,40.0
Burton,71218663.0,41441.666666666664,10.463642457230142,485.6666666666667,65.33333333333333
Cheshunt,70415915.2,41439.4,10.502381384528283,960.2,127.5
Exeter Airport,69796711.41666667,41376.5,10.541638893110218,1059.0,137.91666666666666
Little Marlow,68693097.33333333,41333.333333333336,10.585971178739554,1525.6666666666667,193.0
Milton,56527849.5,41328.0,10.422607769987698,812.0,108.0
Long Furlong,72373176.5,41250.0,10.62694704400429,2132.0,259.0
Stratford Enterprise Park,69559394.5,41250.0,10.62694704400429,1189.0,161.5
Twerton,69258326.0,41225.0,10.626800147427799,1341.0,176.0
Aberdeen,69704982.3635251,41175.879436964504,10.491275184288721,1052.8164014687882,134.98959608323133
Perth & Kinross,70164702.77777778,41091.11111111111,10.47265530429761,1063.7777777777778,137.0
New Leeds,69000143.0,41000.0,10.621327345686446,740.0,103.0
North Ewster,70160027.41891892,40964.33783783784,10.529902270350808,1179.2027027027027,150.6216216216216
Irlam,66601328.71428572,40862.857142857145,10.405293967490547,808.7142857142857,101.14285714285714
Mill Hill East,68682148.33333333,40836.333333333336,10.490230871929633,2079.6666666666665,272.3333333333333
Rosyth,70597388.0,40836.13953488372,10.554306605529682,1124.2558139534883,138.27906976744185
East End,70607814.0,40800.0,10.616437360392252,491.0,63.0
West End,69736350.94871795,40785.96153846154,10.507390251238059,1102.5320512820513,144.17307692307693
Linlithgow,70480247.25,40785.2,10.544710339482156,2189.35,259.75
Heathrow,69124823.71428572,40671.607142857145,10.54416210353925,1616.642857142857,203.10714285714286
South West England,69866688.4720358,40666.780760626396,10.524001139993329,1246.3579418344518,159.98434004474274
Riverhead,72170749.33333333,40666.666666666664,10.608045258208366,1214.0,152.0
Mayfair,69110780.15384616,40613.846153846156,10.55080842513755,1146.3076923076924,147.53846153846155
Two Mile Ash,70326967.09677419,40604.1935483871,10.556634305575304,1221.1935483870968,158.16129032258064
Covent Garden,69986419.04081632,40528.5306122449,10.497474953951974,1268.9489795918366,166.3265306122449
Isle Of Man,70346130.1764706,40512.117647058825,10.512303245472346,882.4117647058823,117.23529411764706
Dundee Technology Park,70983774.33333333,40500.0,10.513513663712859,1278.3333333333333,165.66666666666666
Broadgate,66855257.5,40499.5,10.556372859935827,1423.25,186.75
Handbridge,69916630.96,40380.0,10.559267238997492,880.6,117.08
Woodthorpe,69687733.18518518,40355.555555555555,10.548753714894874,1444.2962962962963,180.25925925925927
Ringmer,70767034.0,40320.0,10.60460290274525,177.0,25.0
Newnham,69754513.84615384,40307.692307692305,10.570359117018661,979.3846153846154,128.6153846153846
London Colney,71053871.4,40300.0,10.496630741493757,1042.2,136.6
Little London,69449509.15384616,40256.769230769234,10.556524990766293,1126.8461538461538,152.92307692307693
Manchester Science Park,70479368.86021505,40104.05376344086,10.51788414948325,1068.274193548387,140.45698924731184
Eaton Ford,71875569.0,40000.0,10.588760554612003,1175.0,147.0
Randalstown,69537751.0,40000.0,10.596634733096073,1477.0,197.0
Hoe Hill,70438701.0,40000.0,10.596634733096073,1118.0,136.0
East Barnet,70750273.66666667,40000.0,10.579262732716401,1637.0,209.33333333333334
Little Grimsby,71145762.0,40000.0,10.596634733096073,2441.0,336.0
East Mersea,69935377.0,40000.0,10.520859784032472,1079.5,143.0
Crouch End,69858205.0,40000.0,10.596634733096073,1118.0,152.0
Acton Gate,69023449.0,40000.0,10.596634733096073,1306.0,160.0
Hungerford Park,70583795.0,40000.0,10.564365472527289,1004.0,128.0
All Saints,67942505.5,40000.0,10.578740179170282,1060.0,136.5
Steyning,70264605.0,40000.0,10.596634733096073,1021.0,141.0
Lympstone,69975506.0,40000.0,10.596634733096073,563.0,76.0
Hamworthy,69523109.0,40000.0,10.596634733096073,941.0,125.0
Hotwells,72578246.0,39999.0,10.596609732783568,1588.0,184.0
Chesterton,69973292.25,39925.0,10.457466421481055,995.25,128.0
Harwell,70842070.57142857,39924.28571428572,10.583357483596203,1602.5714285714287,199.0
Buckley,71293162.0,39870.0,10.591609565169321,888.5,111.0
West Berkshire,71336935.375,39860.875,10.508561459184694,969.375,125.5
Annan,70380387.625,39768.75,10.53183832231952,1252.125,164.75
Weston Coyney,70797624.75,39750.0,10.556960400021753,988.5,126.5
Stock,72073300.0,39750.0,10.590345341992643,1435.0,178.5
Trimley St. Mary,70664943.81818181,39727.27272727273,10.551847777902443,1010.2272727272727,130.9090909090909
Burn Bridge,70299084.8888889,39722.22222222222,10.541240330571888,1042.4444444444443,133.22222222222223
Hailey,71180156.6,39700.0,10.584537882934168,1146.2,149.2
Soho,69292506.4,39700.0,10.536806015438597,1503.9333333333334,211.4
East Hanningfield,69697884.0,39666.666666666664,10.54790844980899,1363.3333333333333,173.83333333333334
Brampton,68724959.66666667,39666.666666666664,10.540001720830942,1991.3333333333333,262.0
Berkshire,69607589.94474034,39639.51464713715,10.494769692865518,1178.2363515312916,152.45139813581892
Hertfordshire,69197981.89701636,39565.671799807504,10.494082549295204,1227.1559191530318,157.2781520692974
Flackwell Heath,70248213.76923077,39561.53846153846,10.542844302223724,1280.4615384615386,166.92307692307693
Rowland's Castle,70639253.0,39550.0,10.564698694798867,1923.5,252.0
Southend,68313035.0,39538.0,10.453381802470092,1297.3,167.7
Kenn,70784576.0,39500.0,10.526734230277015,1250.0,161.0
North Harrow,66250365.4,39500.0,10.502760920096229,1146.0,150.8
North Lincolnshire,70339979.75,39499.75,10.464548010468066,1171.25,146.125
Dumfries & Galloway,69732107.5625,39499.625,10.354265325051726,906.5625,118.8125
Boldon Colliery,70146071.19166666,39491.308333333334,10.514341804263584,1080.9208333333333,140.16666666666666
West London,69834584.20926756,39452.92675635277,10.493203087587407,1259.4125560538116,164.90134529147983
Askham Bryan,71597093.9090909,39409.09090909091,10.54522209770717,1149.5454545454545,147.1818181818182
Upper Sydenham,70114303.0,39390.0,10.580114806056972,400.5,55.0
Abbey Wood,69079334.0,39360.0,10.58050535116619,438.0,56.0
Hayes,66595902.25,39337.5,10.520159028652195,1224.0,155.25
Willian,69831148.0,39166.666666666664,10.572332476160044,1260.6666666666667,165.33333333333334
Christs Hospital,71696713.33333333,39166.666666666664,10.572332476160044,1300.6666666666667,170.0
Jersey,68780271.6111111,39135.72222222222,10.441311325079315,1354.2777777777778,179.88888888888889
Halewood,69812794.75,39101.25,10.54315520019642,1282.25,160.5
East Ham,70185957.5,39020.0,10.550248033019896,816.5,108.5
Ruscombe,68356130.0,39000.0,10.571316925111784,622.0,82.0
Willoughby,72666466.0,39000.0,10.571316925111784,737.0,93.0
City,69491864.51612903,38881.290322580644,10.49209928093823,894.3225806451613,113.90322580645162
Little Chalfont,71620600.0,38865.0,10.56784938166432,1310.0,170.0
Coaley,70968885.875,38812.5,10.546182827971196,1198.4375,152.375
Mop End,70220547.9090909,38772.72727272727,10.542856533712769,1047.3636363636363,139.0909090909091
Far Arnside,71330476.5,38750.0,10.516272499365423,932.75,120.25
Barbican,68404868.0,38678.4,10.456865492761057,1063.6,135.6
Stevenage,69697744.41260745,38625.40114613181,10.49049758337605,1693.2779369627508,210.04011461318052
Aberdeenshire,68725250.61643836,38624.19863013698,10.460757452263193,1229.9520547945206,157.18493150684932
Clapham,69560727.33333333,38611.11111111111,10.46635330028374,1011.6666666666666,130.77777777777777
Bransgore,69998318.0,38563.0,10.56004854652803,1127.0,147.0
London Stansted Airport,69841596.0,38562.5,10.527611424795623,666.5,88.5
Stanford On Soar,69907802.66666667,38555.555555555555,10.504399619371023,1200.7777777777778,150.66666666666666
Bourne End,70049361.88157895,38526.63157894737,10.484779915309877,1252.907894736842,162.82894736842104
Surrey,69479721.52690864,38520.503128911136,10.467213981865484,1137.6074259491031,147.36170212765958
Haydock,71818359.0,38500.0,10.558413520275876,797.0,95.0
Herefordshire,68185080.33333333,38479.75,10.405997060139063,1148.9833333333333,148.86666666666667
North East England,69602521.92147806,38434.62355658199,10.47691457899188,1164.094688221709,151.03695150115473
Kent,69941067.036009,38415.28207051763,10.459404661321159,1078.9062265566392,141.10502625656414
Killingworth,69540855.0,38400.0,10.555812738575819,511.0,67.0
Lane End,66925402.0,38400.0,10.555812738575819,900.0,114.0
Horsforth,70381551.91240875,38261.90510948905,10.501635267704245,1203.2189781021898,154.1094890510949
Kingswood,69016068.4,38200.0,10.488271021225255,1253.0,161.0
East Midlands,70001664.35152839,38180.22816593887,10.465984940210209,1124.1004366812226,145.2740174672489
Western Isles,68630050.0,38139.09090909091,10.386558015900503,1282.090909090909,169.8181818181818
Clapham Junction,69309718.5,38137.5,10.525721298405939,924.75,118.25
Hampshire,69497376.44123314,38129.03147077713,10.454668741026252,1181.8021836865767,152.35260115606937
Walsgrave On Sowe,69525657.0,38125.0,10.548625513909712,1557.0,206.0
Wales,68569306.52230483,38080.869888475834,10.455008044458955,1131.3773234200744,146.6171003717472
Swanley,70098994.4,38046.24,10.47453692521562,1164.57,149.31
Ash Vale,72460207.0,38000.0,10.545341438708522,1549.0,192.0
Llangefni,71355043.0,37950.0,10.54395447526716,518.5,65.5
Paddington,70833058.7,37855.0,10.452670482731012,1209.3,158.5
Broxbourne,68889153.83333333,37763.333333333336,10.488035016208672,1659.5,214.33333333333334
Woodstock,69751182.3030303,37760.0,10.425310085364888,1506.5454545454545,185.27272727272728
Titchfield,69183827.16666667,37759.333333333336,10.461103557579413,1502.3333333333333,191.33333333333334
West Dunbartonshire,69903270.33333333,37753.333333333336,10.496662529722698,1710.0,219.0
Lydbury North,70240403.80357143,37739.17857142857,10.478481453529964,1087.1607142857142,141.98214285714286
Yorkshire and Humberside,69996775.65446559,37578.821376281114,10.444901206668327,1130.8579795021963,146.31185944363105
Llangennech,70489392.85714285,37565.0,10.412067014767958,959.7142857142857,124.14285714285714
Docklands,69537193.0,37524.61538461538,10.418563237194956,1280.4807692307693,162.96153846153845
